disease_code,disease_name,region,year,case_count,source
COVID_001,COVID-19,Egypt,2021,0,OWID
COVID_001,COVID-19,Egypt,2022,0,OWID
COVID_001,COVID-19,Egypt,2023,19,OWID
COVID_001,COVID-19,Egypt,2024,0,OWID
COVID_001,COVID-19,El Salvador,2020,0,OWID
COVID_001,COVID-19,El Salvador,2021,0,OWID
COVID_001,COVID-19,El Salvador,2022,0,OWID
COVID_001,COVID-19,El Salvador,2023,0,OWID
COVID_001,COVID-19,El Salvador,2024,0,OWID
COVID_001,COVID-19,Equatorial Guinea,2020,0,OWID
COVID_001,COVID-19,Equatorial Guinea,2021,0,OWID
COVID_001,COVID-19,Equatorial Guinea,2022,0,OWID
COVID_001,COVID-19,Equatorial Guinea,2023,0,OWID
COVID_001,COVID-19,Equatorial Guinea,2024,0,OWID
COVID_001,COVID-19,Eritrea,2020,0,OWID
COVID_001,COVID-19,Eritrea,2021,0,OWID
COVID_001,COVID-19,Eritrea,2022,0,OWID
COVID_001,COVID-19,Eritrea,2023,0,OWID
COVID_001,COVID-19,Eritrea,2024,0,OWID
COVID_001,COVID-19,Estonia,2020,0,OWID
COVID_001,COVID-19,Estonia,2021,0,OWID
COVID_001,COVID-19,Estonia,2022,0,OWID
COVID_001,COVID-19,Estonia,2023,541,OWID
COVID_001,COVID-19,Estonia,2024,0,OWID
COVID_001,COVID-19,Eswatini,2020,0,OWID
COVID_001,COVID-19,Eswatini,2021,0,OWID
COVID_001,COVID-19,Eswatini,2022,0,OWID
COVID_001,COVID-19,Eswatini,2023,13,OWID
COVID_001,COVID-19,Eswatini,2024,0,OWID
COVID_001,COVID-19,Ethiopia,2020,0,OWID
COVID_001,COVID-19,Ethiopia,2021,0,OWID
COVID_001,COVID-19,Ethiopia,2022,0,OWID
COVID_001,COVID-19,Ethiopia,2023,905,OWID
COVID_001,COVID-19,Ethiopia,2024,0,OWID
COVID_001,COVID-19,Europe,2020,1,OWID
COVID_001,COVID-19,Europe,2021,0,OWID
COVID_001,COVID-19,Europe,2022,0,OWID
COVID_001,COVID-19,Europe,2023,681641,OWID
